Country,Continent,Rank,Title,Artists,Album,Explicit,Duration,Popularity
Argentina,South America,9,Tattoo,Rauw Alejandro,Tattoo,0,3:22,88
Argentina,South America,10,Inolvidable,"Ovy On The Drums, Beéle",Inolvidable,0,3:45,33
Argentina,South America,11,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20,76
Argentina,South America,12,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola (Remix),0,4:09,89
Argentina,South America,13,Por Primera Vez,"Camilo, Evaluna Montaner",Por Primera Vez,0,3:02,23
Argentina,South America,14,Diosa,Myke Towers,Easy Money Baby,1,3:34,43
Argentina,South America,15,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta (Remix),1,5:45,10
Argentina,South America,16,Relación,Sech,1 of 1,0,3:04,98
Argentina,South America,17,Morado,J Balvin,Colores,0,3:20,65
Argentina,South America,18,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Sigues Con El,0,3:46,23
Argentina,South America,19,Blinding Lights,The Weeknd,After Hours,0,3:20,35
Argentina,South America,20,Tak Tiki Tak,Harry Nach,Tak Tiki Tak,1,3:32,23
Argentina,South America,21,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29,76
Argentina,South America,22,Fantasias,"Rauw Alejandro, Farruko",Fantasias,0,3:19,18
Argentina,South America,23,Loco,Beéle,Loco,0,3:24,19
Argentina,South America,24,Locura,"Cali Y El Dandee, Sebastian Yatra",Colegio,0,3:29,13
Argentina,South America,25,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56,45
Argentina,South America,26,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03,65
Argentina,South America,27,La Difícil,Bad Bunny,YHLQMDLG,1,2:43,81
Argentina,South America,28,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02,90
Argentina,South America,29,Amarillo,J Balvin,Colores,0,2:37,19
Argentina,South America,30,ALMA DINAMITA,WOS,Tres Puntos Suspensivos,0,2:53,56
Argentina,South America,31,Ignorantes,"Bad Bunny, Sech",YHLQMDLG,1,3:30,58
Argentina,South America,32,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto (Remix),1,4:49,45
